Query,Response Time,Availability,Throughput,Successability,Reliability,Multiservice,Nanoservice,DataService,ChattyService,AmbigousService
63,0.139,0.199,0.019,0.380,0.263,0.2,0.2,0.2,0.2,0.2
64,0.363,0.192,0.012,0.149,0.283,0.2,0.2,0.2,0.2,0.2
65,0.267,0.226,0.036,0.207,0.264,0.2,0.2,0.2,0.2,0.2
66,0.117,0.185,0.017,0.324,0.357,0.2,0.2,0.2,0.2,0.2
67,0.019,0.200,0.017,0.360,0.404,0.2,0.2,0.2,0.2,0.2
68,0.155,0.216,0.014,0.263,0.352,0.2,0.2,0.2,0.2,0.2
69,0.122,0.212,0.025,0.297,0.344,0.2,0.2,0.2,0.2,0.2
70,0.006,0.326,0.016,0.294,0.359,0.2,0.2,0.2,0.2,0.2
71,0.006,0.322,0.026,0.291,0.355,0.2,0.2,0.2,0.2,0.2
72,0.006,0.319,0.036,0.288,0.351,0.2,0.2,0.2,0.2,0.2
73,0.006,0.315,0.046,0.285,0.348,0.2,0.2,0.2,0.2,0.2
74,0.023,0.076,0.260,0.267,0.373,0.2,0.2,0.2,0.2,0.2
75,0.570,0.058,0.048,0.204,0.119,0.2,0.2,0.2,0.2,0.2
76,0.572,0.064,0.064,0.197,0.105,0.2,0.2,0.2,0.2,0.2
77,0.580,0.078,0.033,0.186,0.123,0.2,0.2,0.2,0.2,0.2
78,0.545,0.059,0.064,0.208,0.125,0.2,0.2,0.2,0.2,0.2
79,0.489,0.072,0.109,0.167,0.163,0.2,0.2,0.2,0.2,0.2
80,0.005,0.132,0.182,0.364,0.317,0.2,0.2,0.2,0.2,0.2
81,0.095,0.205,0.022,0.342,0.336,0.2,0.2,0.2,0.2,0.2
82,0.093,0.200,0.035,0.338,0.334,0.2,0.2,0.2,0.2,0.2
83,0.199,0.188,0.016,0.298,0.299,0.2,0.2,0.2,0.2,0.2
84,0.536,0.136,0.007,0.190,0.131,0.2,0.2,0.2,0.2,0.2
85,0.519,0.137,0.022,0.189,0.133,0.2,0.2,0.2,0.2,0.2
86,0.504,0.138,0.035,0.189,0.135,0.2,0.2,0.2,0.2,0.2
87,0.595,0.120,0.017,0.181,0.087,0.2,0.2,0.2,0.2,0.2
88,0.568,0.076,0.032,0.217,0.106,0.2,0.2,0.2,0.2,0.2
89,0.015,0.248,0.034,0.299,0.404,0.2,0.2,0.2,0.2,0.2
90,0.007,0.250,0.043,0.315,0.385,0.2,0.2,0.2,0.2,0.2
91,0.004,0.267,0.131,0.283,0.314,0.2,0.2,0.2,0.2,0.2
92,0.004,0.268,0.139,0.278,0.312,0.2,0.2,0.2,0.2,0.2
93,0.004,0.279,0.116,0.289,0.313,0.2,0.2,0.2,0.2,0.2
94,0.004,0.282,0.125,0.285,0.304,0.2,0.2,0.2,0.2,0.2
95,0.004,0.290,0.109,0.280,0.317,0.2,0.2,0.2,0.2,0.2
96,0.004,0.294,0.118,0.284,0.299,0.2,0.2,0.2,0.2,0.2
97,0.004,0.292,0.125,0.282,0.297,0.2,0.2,0.2,0.2,0.2
98,0.004,0.290,0.131,0.280,0.295,0.2,0.2,0.2,0.2,0.2
99,0.004,0.287,0.138,0.278,0.293,0.2,0.2,0.2,0.2,0.2
100,0.004,0.287,0.129,0.280,0.300,0.2,0.2,0.2,0.2,0.2
